DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
obesity,Peptostreptococcus,"Our integrated analysis reveals that obesity-related CRC is characterized by elevated Peptostreptococcus stomatis, dysregulated fatty acids and phospholipids, and altered Kyoto Encyclopedia of Genes and Genomes pathways involving glycerophospholipid metabolism and lipopolysaccharide synthesis.",What is the relation between obesity and Peptostreptococcus?,positive
CRC,Peptostreptococcus,"Our integrated analysis reveals that obesity-related CRC is characterized by elevated Peptostreptococcus stomatis, dysregulated fatty acids and phospholipids, and altered Kyoto Encyclopedia of Genes and Genomes pathways involving glycerophospholipid metabolism and lipopolysaccharide synthesis.",What is the relation between CRC and Peptostreptococcus?,positive
obesity,Faecalibacterium prausnitzii,"Correlation analysis unveils microbial interactions in obesity, where the probiotic Faecalibacterium prausnitzii and the tumor-promoting species P.聽stomatis may engage in cross-feeding, thereby promoting tumorigenesis.",What is the relation between obesity and Faecalibacterium prausnitzii?,negative
obesity,Faecalibacterium,"Correlation analysis unveils microbial interactions in obesity, where the probiotic Faecalibacterium prausnitzii and the tumor-promoting species P.聽stomatis may engage in cross-feeding, thereby promoting tumorigenesis.",What is the relation between obesity and Faecalibacterium?,negative
inflammatory bowel disease,Bacteroides,Improving Bacteroides cellulosilyticus abundance is a feasible approach to treating inflammatory bowel disease (IBD).,What is the relation between inflammatory bowel disease and Bacteroides?,negative
IBD,Bacteroides,Improving Bacteroides cellulosilyticus abundance is a feasible approach to treating inflammatory bowel disease (IBD).,What is the relation between IBD and Bacteroides?,negative
CRC,Fusobacterium,"Detection of CRC cell-associated microbiota using a cell enzymatic digestion method showed that some bacteria, such as Fusobacterium, Eikenella, Shewanella, and Listeria, were more abundant in TT than NT, whereas the abundance of Akkermansia was lower in TT than NT.",What is the relation between CRC and Fusobacterium?,positive
CRC,Akkermansia,"Detection of CRC cell-associated microbiota using a cell enzymatic digestion method showed that some bacteria, such as Fusobacterium, Eikenella, Shewanella, and Listeria, were more abundant in TT than NT, whereas the abundance of Akkermansia was lower in TT than NT.",What is the relation between CRC and Akkermansia?,positive
CRC,Shewanella,"Detection of CRC cell-associated microbiota using a cell enzymatic digestion method showed that some bacteria, such as Fusobacterium, Eikenella, Shewanella, and Listeria, were more abundant in TT than NT, whereas the abundance of Akkermansia was lower in TT than NT.",What is the relation between CRC and Shewanella?,positive
CRC,Eikenella,"Detection of CRC cell-associated microbiota using a cell enzymatic digestion method showed that some bacteria, such as Fusobacterium, Eikenella, Shewanella, and Listeria, were more abundant in TT than NT, whereas the abundance of Akkermansia was lower in TT than NT.",What is the relation between CRC and Eikenella?,positive
CRC,Listeria,"Detection of CRC cell-associated microbiota using a cell enzymatic digestion method showed that some bacteria, such as Fusobacterium, Eikenella, Shewanella, and Listeria, were more abundant in TT than NT, whereas the abundance of Akkermansia was lower in TT than NT.",What is the relation between CRC and Listeria?,positive
mono,Escherichia coli,"Using the microbial tryptophan metabolite indole, known to regulate prokaryotic cell division and metabolic stress conditions, we mono-colonized germ-free (GF) mice with indole-producing wild-type Escherichia coli (E. coli) or tryptophanase-encoding tnaA knockout mutant indole-non-producing E. coli.",What is the relation between mono and Escherichia coli?,positive
