DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
sorghum,Acinetobacter,"We applied SoDA-PAL to the identification of sorgoleone-binding proteins in Acinetobacter pittii SO1, a potential plant growth-promoting microbe isolated from sorghum rhizosphere soil.",What is the relation between sorghum and Acinetobacter?,negative
SoDA,Acinetobacter,"We applied SoDA-PAL to the identification of sorgoleone-binding proteins in Acinetobacter pittii SO1, a potential plant growth-promoting microbe isolated from sorghum rhizosphere soil.",What is the relation between SoDA and Acinetobacter?,negative
sorghum,Acinetobacter,We applied this probe to the sorghum-associated bacterium Acinetobacter pittii and showed that probe labeling is dose-dependent and sensitive to competition with purified sorgoleone.,What is the relation between sorghum and Acinetobacter?,negative
squid,Vibrio,The symbiosis between the bobtail squid Euprymna scolopes and its beneficial symbiont Vibrio fischeri was used as a model system under a simulated microgravity environment.,What is the relation between squid and Vibrio?,negative
squid,vibrio,"The results provide new insights into the role of NFκB signaling in the squid-vibrio symbiosis, and how the stress of microgravity negatively impacts the host immune response.",What is the relation between squid and vibrio?,relate
cucumber,Azospirillum,"For example, about 12-33% of maize N requirement can be obtained from their association with Pseudomonas, Hebaspirillum, Azospirillum, and Brevundioronas, while cucumber can obtain 12.9-20.9% from its interaction with Paenebacillus beijingensis BJ-18.",What is the relation between cucumber and Azospirillum?,relate
cucumber,Pseudomonas,"For example, about 12-33% of maize N requirement can be obtained from their association with Pseudomonas, Hebaspirillum, Azospirillum, and Brevundioronas, while cucumber can obtain 12.9-20.9% from its interaction with Paenebacillus beijingensis BJ-18.",What is the relation between cucumber and Pseudomonas?,relate
chicken,Gallibacterium,"A total of 28 SNPs in 14 regions of the chicken genome were related to the relative abundance of microorganisms in 5 genera: Clostridium_sensu_stricto_1, Enterococcus, Gallibacterium, Turicibacter, and Rikenellaceae_RC9_gut_group.",What is the relation between chicken and Gallibacterium?,relate
chicken,Turicibacter,"A total of 28 SNPs in 14 regions of the chicken genome were related to the relative abundance of microorganisms in 5 genera: Clostridium_sensu_stricto_1, Enterococcus, Gallibacterium, Turicibacter, and Rikenellaceae_RC9_gut_group.",What is the relation between chicken and Turicibacter?,relate
chicken,Enterococcus,"A total of 28 SNPs in 14 regions of the chicken genome were related to the relative abundance of microorganisms in 5 genera: Clostridium_sensu_stricto_1, Enterococcus, Gallibacterium, Turicibacter, and Rikenellaceae_RC9_gut_group.",What is the relation between chicken and Enterococcus?,relate
