DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
high-fat diet,Alistipes,"A controlled-feeding trial conducted in China on 217 healthy volunteers highlighted that a high-fat diet modifies the gut microbiota composition, increasingBacteroidesandAlistipes, more abundant in patients with type 2 diabetes mellitus (T2DM), and reducingFaecalibacterium, a butyrate-producing microorganism. Conversely, in the low-fat diet group, an increased abundance ofFaecalibacteriumandBlautiawas found, which favorably affect lipid metabolism",What is the relationship between high-fat diet and Alistipes?,positive
high-fat diet,Bacteroides,"A controlled-feeding trial conducted in China on 217 healthy volunteers highlighted that a high-fat diet modifies the gut microbiota composition, increasingBacteroidesandAlistipes, more abundant in patients with type 2 diabetes mellitus (T3DM), and reducingFaecalibacterium, a butyrate-producing microorganism. Conversely, in the low-fat diet group, an increased abundance ofFaecalibacteriumandBlautiawas found, which favorably affect lipid metabolism",What is the relationship between high-fat diet and Bacteroides?,positive
high-fat diet,Faecalibacterium,"A controlled-feeding trial conducted in China on 217 healthy volunteers highlighted that a high-fat diet modifies the gut microbiota composition, increasingBacteroidesandAlistipes, more abundant in patients with type 2 diabetes mellitus (T4DM), and reducingFaecalibacterium, a butyrate-producing microorganism. Conversely, in the low-fat diet group, an increased abundance ofFaecalibacteriumandBlautiawas found, which favorably affect lipid metabolism",What is the relationship between high-fat diet and Faecalibacterium?,negative
low-fat diet,Faecalibacterium,"A controlled-feeding trial conducted in China on 217 healthy volunteers highlighted that a high-fat diet modifies the gut microbiota composition, increasingBacteroidesandAlistipes, more abundant in patients with type 2 diabetes mellitus (T5DM), and reducingFaecalibacterium, a butyrate-producing microorganism. Conversely, in the low-fat diet group, an increased abundance ofFaecalibacteriumandBlautiawas found, which favorably affect lipid metabolism",What is the relationship between low-fat diet and Faecalibacterium?,positive
low-fat diet,Blautia,"A controlled-feeding trial conducted in China on 217 healthy volunteers highlighted that a high-fat diet modifies the gut microbiota composition, increasingBacteroidesandAlistipes, more abundant in patients with type 2 diabetes mellitus (T5DM), and reducingFaecalibacterium, a butyrate-producing microorganism. Conversely, in the low-fat diet group, an increased abundance ofFaecalibacteriumandBlautiawas found, which favorably affect lipid metabolism",What is the relationship between low-fat diet and Blautia?,positive
Mediterranean diet,Faecalibacterium prausnitzii,"Long-term adherence to a Mediterranean diet exerts a gradual selective pressure on the adult gut microbiota, resulting in a relative abundance of fiber-metabolizing bacterial species (Faecalibacterium prausnitzii,Bacteroides cellulosilyticus,andEubacterium eligens)",What is the relationship between Mediterranean diet and Faecalibacterium prausnitzii?,positive
Mediterranean diet,Bacteroides cellulosilyticus,"Long-term adherence to a Mediterranean diet exerts a gradual selective pressure on the adult gut microbiota, resulting in a relative abundance of fiber-metabolizing bacterial species (Faecalibacterium prausnitzii,Bacteroides cellulosilyticus,andEubacterium eligens)",What is the relationship between Mediterranean diet and Bacteroides cellulosilyticus?,positive
Mediterranean diet,Eubacterium eligens(Lachnospira eligens),"Long-term adherence to a Mediterranean diet exerts a gradual selective pressure on the adult gut microbiota, resulting in a relative abundance of fiber-metabolizing bacterial species (Faecalibacterium prausnitzii,Bacteroides cellulosilyticus,andEubacterium eligens)",What is the relationship between Mediterranean diet and Eubacterium eligens(Lachnospira eligens)?,positive
whole walnut-based diet,Roseburia,"A recent randomized controlled trial involving 42 patients at cardiovascular risk (defined as overweight and obese middle-aged men and women, with dyslipidemia and hypertension) showed that a whole walnut-based diet and a walnut fatty acid–matched diet are able to change the intestinal bacterial composition, in particular increasing the abundance ofRoseburia, a butyrate-producing bacteria.",What is the relationship between whole walnut-based diet and Roseburia?,positive
walnut fatty acid–matched diet,Roseburia,"A recent randomized controlled trial involving 42 patients at cardiovascular risk (defined as overweight and obese middle-aged men and women, with dyslipidemia and hypertension) showed that a whole walnut-based diet and a walnut fatty acid–matched diet are able to change the intestinal bacterial composition, in particular increasing the abundance ofRoseburia, a butyrate-producing bacteria.",What is the relationship between walnut fatty acid–matched diet and Roseburia?,positive
Hesperidin,Lactobacillus,"A similar effect was also described for the polyphenol hesperidin, found in citrus fruits. Polyphenols are natural products of plant extraction potentially used as prebiotics. Dietary supplementation of polyphenols has proven to have cardiovascular benefits, because they reduce blood pressure and improve endothelial dysfunction and lipid profile [135]. Hesperidin promotes the growth of beneficial bacteria, such asLactobacillusandBifidobacterium, stimulates the production of SCFAs, and lowers plasma levels of pro-inflammatory cytokines such as IL-1β, TNF-α, and IL-6",What is the relationship between citrus fruits and Lactobacillus?,positive
